날짜,지역명,지표,거래구분,값
2025-02-17,경북,가격지수,매매,100.7494
2025-02-24,경북,가격지수,매매,100.6249
2025-03-03,경북,가격지수,매매,100.5811
2025-03-10,경북,가격지수,매매,100.5682
2025-03-17,경북,가격지수,매매,100.5576
2025-03-24,경북,가격지수,매매,100.5547
2025-03-31,경북,가격지수,매매,100.5028
2025-04-07,경북,가격지수,매매,100.4696
2025-04-14,경북,가격지수,매매,100.4314
2025-04-21,경북,가격지수,매매,100.4109
2025-04-28,경북,가격지수,매매,100.3565
2025-05-05,경북,가격지수,매매,100.3659
2025-05-12,경북,가격지수,매매,100.3462
2025-05-19,경북,가격지수,매매,100.3049
2025-05-26,경북,가격지수,매매,100.2934
2025-06-02,경북,가격지수,매매,100.251
2025-06-09,경북,가격지수,매매,100.2111
2025-06-16,경북,가격지수,매매,100.1647
2025-06-23,경북,가격지수,매매,100.1485
2025-06-30,경북,가격지수,매매,100.1426
2025-07-07,경북,가격지수,매매,100.1175
2025-07-14,경북,가격지수,매매,100.0675
2025-07-21,경북,가격지수,매매,100.0414
2025-07-28,경북,가격지수,매매,100.0053
2025-08-04,경북,가격지수,매매,99.9422
2025-08-11,경북,가격지수,매매,99.8936
2025-08-18,경북,가격지수,매매,99.8672
2025-08-25,경북,가격지수,매매,99.8418
2025-09-01,경북,가격지수,매매,99.8415
2025-09-08,경북,가격지수,매매,99.816
2025-09-15,경북,가격지수,매매,99.8327
2025-09-22,경북,가격지수,매매,99.8482
2025-09-29,경북,가격지수,매매,99.8438
2025-10-13,경북,가격지수,매매,99.8575
2025-10-20,경북,가격지수,매매,99.859
2025-10-27,경북,가격지수,매매,99.8744
2025-11-03,경북,가격지수,매매,99.8837
2025-11-10,경북,가격지수,매매,99.9066
2025-11-17,경북,가격지수,매매,99.9195
2025-11-24,경북,가격지수,매매,99.9048
2025-12-01,경북,가격지수,매매,99.9297
2025-12-08,경북,가격지수,매매,99.9495
2025-12-15,경북,가격지수,매매,99.976
2025-12-22,경북,가격지수,매매,99.9989
2025-12-29,경북,가격지수,매매,100.001
2026-01-05,경북,가격지수,매매,99.9941
2026-01-12,경북,가격지수,매매,100.0
2026-01-19,경북,가격지수,매매,100.0064
2026-01-26,경북,가격지수,매매,100.0079
2026-02-02,경북,가격지수,매매,100.0458
2026-02-09,경북,가격지수,매매,100.0858
2026-02-23,경북,가격지수,매매,100.1075
2026-03-02,경북,가격지수,매매,100.1101
2026-03-09,경북,가격지수,매매,100.1559
2026-03-16,경북,가격지수,매매,100.1967
2026-03-23,경북,가격지수,매매,100.1849
2026-03-30,경북,가격지수,매매,100.166
2026-04-06,경북,가격지수,매매,100.1698
2026-04-13,경북,가격지수,매매,100.176
2026-04-20,경북,가격지수,매매,100.1735
2026-04-27,경북,가격지수,매매,100.1556
2026-05-04,경북,가격지수,매매,100.1457
2026-05-11,경북,가격지수,매매,100.2187
2026-05-18,경북,가격지수,매매,100.1823
2026-05-25,경북,가격지수,매매,100.1855
2026-06-01,경북,가격지수,매매,100.2105
2026-06-08,경북,가격지수,매매,100.1567
2026-06-15,경북,가격지수,매매,100.1641
2026-06-22,경북,가격지수,매매,100.1237
2024-06-24,광주,가격지수,매매,103.723
2024-07-01,광주,가격지수,매매,103.6906
2024-07-08,광주,가격지수,매매,103.5999
2024-07-15,광주,가격지수,매매,103.5399
2024-07-22,광주,가격지수,매매,103.4697
2024-07-29,광주,가격지수,매매,103.4117
2024-08-05,광주,가격지수,매매,103.3193
2024-08-12,광주,가격지수,매매,103.2584
2024-08-19,광주,가격지수,매매,103.2102
2024-08-26,광주,가격지수,매매,103.1512
2024-09-02,광주,가격지수,매매,103.1242
2024-09-09,광주,가격지수,매매,103.0811
2024-09-23,광주,가격지수,매매,103.0336
2024-09-30,광주,가격지수,매매,103.0124
2024-10-07,광주,가격지수,매매,102.9744
2024-10-14,광주,가격지수,매매,102.9206
2024-10-21,광주,가격지수,매매,102.8532
2024-10-28,광주,가격지수,매매,102.7762
2024-11-04,광주,가격지수,매매,102.6997
2024-11-11,광주,가격지수,매매,102.653
2024-11-18,광주,가격지수,매매,102.5777
2024-11-25,광주,가격지수,매매,102.5237
2024-12-02,광주,가격지수,매매,102.4437
2024-12-09,광주,가격지수,매매,102.372
2024-12-16,광주,가격지수,매매,102.2563
2024-12-23,광주,가격지수,매매,102.1981
2024-12-30,광주,가격지수,매매,102.1468
2025-01-06,광주,가격지수,매매,102.1067
2025-01-13,광주,가격지수,매매,102.0662
2025-01-20,광주,가격지수,매매,102.0091
2025-02-03,광주,가격지수,매매,101.9687
2025-02-10,광주,가격지수,매매,101.9538
2025-02-17,광주,가격지수,매매,101.8526
2025-02-24,광주,가격지수,매매,101.7535
2025-03-03,광주,가격지수,매매,101.6904
2025-03-10,광주,가격지수,매매,101.6671
2025-03-17,광주,가격지수,매매,101.6173
2025-03-24,광주,가격지수,매매,101.587
2025-03-31,광주,가격지수,매매,101.5348
2025-04-07,광주,가격지수,매매,101.4646
2025-04-14,광주,가격지수,매매,101.3728
2025-04-21,광주,가격지수,매매,101.3379
2025-04-28,광주,가격지수,매매,101.2983
2025-05-05,광주,가격지수,매매,101.2765
2025-05-12,광주,가격지수,매매,101.25
2025-05-19,광주,가격지수,매매,101.1871
2025-05-26,광주,가격지수,매매,101.1616
2025-06-02,광주,가격지수,매매,101.1277
2025-06-09,광주,가격지수,매매,101.0943
2025-06-16,광주,가격지수,매매,101.068
2025-06-23,광주,가격지수,매매,101.0354
2025-06-30,광주,가격지수,매매,100.997
2025-07-07,광주,가격지수,매매,100.9665
2025-07-14,광주,가격지수,매매,100.9053
2025-07-21,광주,가격지수,매매,100.868
2025-07-28,광주,가격지수,매매,100.8297
2025-08-04,광주,가격지수,매매,100.7895
2025-08-11,광주,가격지수,매매,100.7634
2025-08-18,광주,가격지수,매매,100.7
2025-08-25,광주,가격지수,매매,100.6164
2025-09-01,광주,가격지수,매매,100.5952
2025-09-08,광주,가격지수,매매,100.5673
2025-09-15,광주,가격지수,매매,100.5094
2025-09-22,광주,가격지수,매매,100.4196
2025-09-29,광주,가격지수,매매,100.35
2025-10-13,광주,가격지수,매매,100.3318
2025-10-20,광주,가격지수,매매,100.3072
2025-10-27,광주,가격지수,매매,100.2977
2025-11-03,광주,가격지수,매매,100.2726
2025-11-10,광주,가격지수,매매,100.2737
2025-11-17,광주,가격지수,매매,100.2628
2025-11-24,광주,가격지수,매매,100.2329
2025-12-01,광주,가격지수,매매,100.2078
2025-12-08,광주,가격지수,매매,100.1909
2025-12-15,광주,가격지수,매매,100.1817
2025-12-22,광주,가격지수,매매,100.1052
2025-12-29,광주,가격지수,매매,100.0594
2026-01-05,광주,가격지수,매매,100.0343
2026-01-12,광주,가격지수,매매,100.0
2026-01-19,광주,가격지수,매매,99.9829
2026-01-26,광주,가격지수,매매,99.9548
2026-02-02,광주,가격지수,매매,99.9378
2026-02-09,광주,가격지수,매매,99.9099
2026-02-23,광주,가격지수,매매,99.8667
2026-03-02,광주,가격지수,매매,99.8645
2026-03-09,광주,가격지수,매매,99.8338
2026-03-16,광주,가격지수,매매,99.7843
2026-03-23,광주,가격지수,매매,99.7313
2026-03-30,광주,가격지수,매매,99.6725
2026-04-06,광주,가격지수,매매,99.6114
2026-04-13,광주,가격지수,매매,99.5516
2026-04-20,광주,가격지수,매매,99.4581
2026-04-27,광주,가격지수,매매,99.3421
2026-05-04,광주,가격지수,매매,99.2387
2026-05-11,광주,가격지수,매매,99.1674
2026-05-18,광주,가격지수,매매,99.0866
2026-05-25,광주,가격지수,매매,99.0237
2026-06-01,광주,가격지수,매매,98.9323
2026-06-08,광주,가격지수,매매,98.8588
2026-06-15,광주,가격지수,매매,98.6725
